Mar 28 16:48:08.230 [notice] Tor 0.4.5.10 (git-fd74f7628eba2525) running on Windows 8 [or later] with Libevent 2.1.12-stable, OpenSSL 1.1.1l, Zlib 1.2.11, Liblzma N/A, Libzstd N/A and Unknown N/A as libc.
Mar 28 16:48:08.230 [notice] Tor can't help you if you use it wrong! Learn how to be safe at https://www.torproject.org/download/download#warning
Mar 28 16:48:08.247 [notice] Read configuration file "C:\Users\User\Downloads\ip changer\Data\tordata0\torrc".
Mar 28 16:48:08.248 [warn] Path for DataDirectory (Data/tordata0) is relative and will resolve to C:\Users\User\Downloads\ip changer\Data\tordata0. Is this what you wanted?
Mar 28 16:48:08.255 [warn] Path for GeoIPFile (Tor/geoip) is relative and will resolve to C:\Users\User\Downloads\ip changer\Tor\geoip. Is this what you wanted?
Mar 28 16:48:08.255 [warn] Path for GeoIPv6File (Tor/geoip6) is relative and will resolve to C:\Users\User\Downloads\ip changer\Tor\geoip6. Is this what you wanted?
Mar 28 16:48:08.255 [warn] You have asked to exclude certain relays from all positions in your circuits. Expect hidden services and other Tor features to be broken in unpredictable ways.
Mar 28 16:48:08.257 [warn] You specified a public address '0.0.0.0:9050' for SocksPort. Other people on the Internet might find your computer and use it as an open proxy. Please don't allow this unless you have a good reason.
Mar 28 16:48:08.257 [notice] Opening Socks listener on 0.0.0.0:9050
Mar 28 16:48:08.257 [notice] Opened Socks listener connection (ready) on 0.0.0.0:9050
Mar 28 16:48:08.257 [notice] Opening DNS listener on 127.0.0.1:53
Mar 28 16:48:08.257 [notice] Opened DNS listener connection (ready) on 127.0.0.1:53
Mar 28 16:48:08.257 [notice] Opening Control listener on 127.0.0.1:15000
Mar 28 16:48:08.257 [notice] Opened Control listener connection (ready) on 127.0.0.1:15000
Mar 28 16:48:08.000 [warn] Your log may contain sensitive information - you disabled SafeLogging. Don't log unless it serves an important reason. Overwrite the log afterwards.
Mar 28 16:48:08.000 [notice] Parsing GEOIP IPv4 file Tor/geoip.
Mar 28 16:48:08.000 [notice] Parsing GEOIP IPv6 file Tor/geoip6.
Mar 28 16:48:08.000 [notice] Bootstrapped 0% (starting): Starting
Mar 28 16:48:09.000 [notice] Starting with guard context "default"
Mar 28 16:48:09.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:09.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:09.000 [notice] Bootstrapped 5% (conn): Connecting to a relay
Mar 28 16:48:09.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:10.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:10.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:10.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:10.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:10.000 [notice] Bootstrapped 10% (conn_done): Connected to a relay
Mar 28 16:48:10.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:10.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:10.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:10.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:10.000 [notice] Bootstrapped 14% (handshake): Handshaking with a relay
Mar 28 16:48:10.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:10.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:10.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:10.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:10.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:10.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:11.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:11.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:11.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:11.000 [notice] New control connection opened from 127.0.0.1.
Mar 28 16:48:11.000 [notice] Bootstrapped 15% (handshake_done): Handshake with a relay done
Mar 28 16:48:11.000 [notice] Bootstrapped 75% (enough_dirinfo): Loaded enough directory info to build circuits
Mar 28 16:48:11.000 [notice] Bootstrapped 90% (ap_handshake_done): Handshake finished with a relay to build circuits
Mar 28 16:48:11.000 [notice] Bootstrapped 95% (circuit_create): Establishing a Tor circuit
Mar 28 16:48:11.000 [notice] New control connection opened from 127.0.0.1.
